iter	RMSE
0	7.424500092
1	7.40052318
2	7.375492512
3	7.344632793
4	7.313563679
5	7.292028171
6	7.266873621
7	7.251866043
8	7.221210714
9	7.195479314
10	7.171100652
11	7.146309675
12	7.128057353
13	7.105803921
14	7.084763906
15	7.067022642
16	7.045667679
17	7.013914286
18	6.99215286
19	6.96701197
20	6.938802177
21	6.917155055
22	6.896030333
23	6.875309219
24	6.853918551
25	6.827352454
26	6.803905941
27	6.783216016
28	6.757182049
29	6.732184835
30	6.709045663
31	6.683128006
32	6.664717702
33	6.645857567
34	6.624403481
35	6.598732235
36	6.581381743
37	6.560473977
38	6.543874475
39	6.523880881
40	6.505866597
41	6.483650774
42	6.460203192
43	6.440225619
44	6.425527198
45	6.404074373
46	6.382716702
47	6.359812541
48	6.335673418
49	6.317867028
50	6.296456242
51	6.275840505
52	6.256115606
53	6.239654918
54	6.223026666
55	6.194507375
56	6.166549554
57	6.151469125
58	6.129683316
59	6.105190811
60	6.091081408
61	6.068283527
62	6.043676459
63	6.02205805
64	6.006158802
65	5.986955852
66	5.972833003
67	5.955297786
68	5.939873088
69	5.923716317
70	5.901428097
71	5.884165856
72	5.861097376
73	5.833612399
74	5.806258162
75	5.784742199
76	5.769987941
77	5.753499764
78	5.742125048
79	5.723427804
80	5.70716507
81	5.692114423
82	5.679808512
83	5.659582596
84	5.645251136
85	5.632555852
86	5.614391798
87	5.603103436
88	5.581399414
89	5.569160359
90	5.551137089
91	5.524510259
92	5.508798557
93	5.495545867
94	5.477611639
95	5.465222251
96	5.449874889
97	5.427537169
98	5.406543812
99	5.392833923
100	5.376642919
101	5.360812157
102	5.336750518
103	5.321003858
104	5.306003486
105	5.290395873
106	5.277568672
107	5.256122573
108	5.238597716
109	5.219561972
110	5.205382864
111	5.189031385
112	5.172145763
113	5.155680289
114	5.13589224
115	5.119180993
116	5.100855156
117	5.087449154
118	5.07166738
119	5.053667923
120	5.042856554
121	5.025424875
122	5.007889435
123	4.983934166
124	4.969423436
125	4.954140581
126	4.940764356
127	4.9266346
128	4.904602908
129	4.880299644
130	4.864580957
131	4.848346539
132	4.832101103
133	4.814572973
134	4.800460445
135	4.787263201
136	4.773209107
137	4.752569242
138	4.735577664
139	4.719800444
140	4.707480093
141	4.693945445
142	4.672673842
143	4.659248189
144	4.638173971
145	4.622224366
146	4.604834298
147	4.590207708
148	4.571920556
149	4.556294756
150	4.540540665
151	4.522394518
152	4.513334865
153	4.502805987
154	4.488954205
155	4.477264822
156	4.466606301
157	4.455035825
158	4.440397237
159	4.426343731
160	4.414006024
161	4.398049132
162	4.385147522
163	4.371269416
164	4.35742014
165	4.338607385
166	4.329256198
167	4.317674841
168	4.302457781
169	4.285859582
170	4.274410738
171	4.265002041
172	4.254901051
173	4.239679394
174	4.224310893
175	4.213179908
176	4.199228269
177	4.186150208
178	4.169733751
179	4.161111488
180	4.148570637
181	4.137064554
182	4.126201856
183	4.115178528
184	4.102372198
185	4.093941523
186	4.079002793
187	4.06136849
188	4.052807136
189	4.037862093
190	4.019485433
191	4.005133854
192	3.99793327
193	3.985349587
194	3.973652161
195	3.959159744
196	3.952592355
197	3.93977916
198	3.925278204
199	3.914867609
200	3.906521107
201	3.890499466
202	3.880374893
203	3.870316734
204	3.859504593
205	3.847901381
206	3.832437131
207	3.822705035
208	3.806552608
209	3.795094301
210	3.783545618
211	3.772029246
212	3.758784379
213	3.74957017
214	3.731900773
215	3.720319317
216	3.709587732
217	3.693718305
218	3.682516063
219	3.667767848
220	3.65436129
221	3.638952859
222	3.626675788
223	3.609425508
224	3.590545868
225	3.575879481
226	3.566190382
227	3.557593509
228	3.545466928
229	3.524950104
230	3.509700356
231	3.494327246
232	3.482584784
233	3.474598707
234	3.465560196
235	3.451504897
236	3.439578407
237	3.431914671
238	3.421666004
239	3.412833535
240	3.397628975
241	3.392203921
242	3.379482848
243	3.373444109
244	3.364684093
245	3.353982165
246	3.341602648
247	3.326124779
248	3.316995249
249	3.305991032
250	3.292866197
251	3.284965085
252	3.27350341
253	3.258856624
254	3.251000496
255	3.239743973
256	3.230764931
257	3.221032547
258	3.209922706
259	3.19825597
260	3.185017555
261	3.176504269
262	3.165094896
263	3.15403438
264	3.141819757
265	3.125522629
266	3.110483108
267	3.101056549
268	3.093310055
269	3.086730227
270	3.079208098
271	3.070877556
272	3.05915363
273	3.046060475
274	3.035135315
275	3.027389611
276	3.014219478
277	3.006601757
278	2.998031953
279	2.989282329
280	2.980647181
281	2.972362887
282	2.965722215
283	2.956623664
284	2.94554277
285	2.93760675
286	2.926565353
287	2.916965701
288	2.909952966
289	2.901783935
290	2.895228436
291	2.883639474
292	2.872356113
293	2.862850868
294	2.851915131
295	2.841775078
296	2.830326622
297	2.823434007
298	2.816316246
299	2.808097864
300	2.799509448
301	2.790836823
302	2.779964753
303	2.769587
304	2.762221541
305	2.755604349
306	2.746337971
307	2.733824439
308	2.729767493
309	2.716642224
310	2.705740595
311	2.697704954
312	2.690509855
313	2.680459392
314	2.673847703
315	2.664510217
316	2.65855847
317	2.649741938
318	2.638501921
319	2.632170567
320	2.621765686
321	2.6163266
322	2.608699688
323	2.601139206
324	2.594442661
325	2.586268887
326	2.576691992
327	2.564187992
328	2.554671738
329	2.543159721
330	2.535119202
331	2.5249125
332	2.511398867
333	2.500501068
334	2.494112271
335	2.489935779
336	2.484480445
337	2.473985408
338	2.461420471
339	2.450735522
340	2.444440274
341	2.435848115
342	2.42911244
343	2.420973095
344	2.416578176
345	2.404393994
346	2.396445739
347	2.38479622
348	2.373578524
349	2.363280732
350	2.353291913
351	2.349460728
352	2.345353821
353	2.336573762
354	2.327287595
355	2.319138524
356	2.313587545
357	2.304849207
358	2.300986041
359	2.294876859
360	2.287793189
361	2.284357464
362	2.280342118
363	2.274944017
364	2.267877487
365	2.261646339
366	2.253064825
367	2.246128206
368	2.237299329
369	2.230380619
370	2.226435474
371	2.219143915
372	2.210376599
373	2.198806687
374	2.188079763
375	2.181547628
376	2.176979099
377	2.165800526
378	2.157029517
379	2.146055029
380	2.140604299
381	2.133278267
382	2.127311756
383	2.118824347
384	2.111066191
385	2.105395086
386	2.1006205
387	2.092535195
388	2.083458968
389	2.079298375
390	2.072079575
391	2.063802152
392	2.054405851
393	2.044335736
394	2.035594351
395	2.029223331
396	2.020421283
397	2.013628633
398	2.004601786
399	1.995441037
400	1.989055065
401	1.982410006
402	1.973217832
403	1.967721168
404	1.961080617
405	1.955253987
406	1.948911918
407	1.942262395
408	1.939224059
409	1.931967159
410	1.926003155
411	1.921534657
412	1.918440945
413	1.909617862
414	1.905776032
415	1.898033233
416	1.890122911
417	1.883610382
418	1.878761187
419	1.870936285
420	1.864209124
421	1.857704602
422	1.850677478
423	1.845196769
424	1.840619304
