iter	Passed	Remaining
0	3	1779
1	6	1742
2	8	1408
3	10	1260
4	10	1096
5	14	1184
6	27	1948
7	28	1769
8	31	1727
9	34	1707
10	36	1642
11	39	1628
12	41	1567
13	44	1556
14	47	1552
15	50	1537
16	52	1503
17	53	1443
18	55	1432
19	58	1432
20	61	1433
21	74	1645
22	77	1636
23	79	1605
24	80	1555
25	83	1540
26	85	1529
27	87	1507
28	90	1501
29	93	1494
30	96	1488
31	99	1481
32	102	1475
33	104	1452
34	106	1445
35	109	1438
36	111	1416
37	114	1410
38	117	1407
39	120	1404
40	123	1401
41	126	1399
42	128	1394
43	130	1372
44	130	1347
45	132	1331
46	135	1330
47	138	1329
48	141	1326
49	144	1327
50	147	1324
51	150	1321
52	153	1321
53	156	1317
54	159	1315
55	161	1302
56	161	1281
57	164	1277
58	167	1275
59	170	1272
60	173	1270
61	176	1268
62	179	1266
63	182	1263
64	185	1263
65	187	1253
66	188	1238
67	190	1233
68	193	1231
69	196	1228
70	199	1227
71	201	1218
72	204	1216
73	207	1216
74	210	1214
75	213	1213
76	216	1212
77	219	1211
78	223	1212
79	226	1211
80	236	1245
81	239	1243
82	242	1241
83	243	1230
84	246	1227
85	249	1225
86	252	1223
87	253	1212
88	256	1209
89	260	1207
90	263	1205
91	266	1204
92	269	1202
93	272	1199
94	285	1242
95	288	1238
96	290	1231
97	293	1226
98	296	1223
99	299	1220
100	302	1217
101	313	1246
102	316	1242
103	319	1239
104	322	1236
105	325	1233
106	328	1229
107	331	1226
108	334	1223
109	337	1219
110	340	1216
111	341	1206
112	344	1203
113	347	1200
114	350	1197
115	356	1205
116	359	1201
117	362	1199
118	366	1196
119	369	1193
120	372	1191
121	377	1195
122	380	1191
123	384	1189
124	387	1185
125	390	1182
126	393	1179
127	396	1176
128	399	1172
129	402	1170
130	405	1166
131	408	1163
132	411	1161
133	414	1157
134	423	1170
135	426	1167
136	429	1163
137	432	1159
138	435	1155
139	438	1151
140	441	1147
141	443	1143
142	446	1139
143	449	1135
144	452	1132
145	455	1128
146	458	1125
147	470	1145
148	473	1141
149	476	1137
150	479	1133
151	482	1130
152	485	1126
153	488	1122
154	491	1118
155	494	1115
156	497	1112
157	500	1108
158	503	1104
159	506	1100
160	509	1097
161	516	1103
162	519	1099
163	522	1096
164	525	1093
165	529	1089
166	532	1086
167	538	1090
168	541	1086
169	545	1083
170	548	1080
171	551	1077
172	555	1075
173	559	1073
174	571	1087
175	574	1084
176	577	1080
177	580	1076
178	583	1072
179	586	1068
180	589	1065
181	590	1057
182	593	1053
183	596	1050
184	599	1046
185	602	1042
186	605	1039
187	607	1033
188	612	1034
189	615	1030
190	618	1026
191	621	1023
192	624	1019
193	627	1015
194	630	1012
195	633	1008
196	635	1004
197	638	1000
198	641	996
199	644	992
200	647	989
201	654	991
202	657	988
203	660	984
204	663	980
205	666	977
206	669	973
207	672	969
208	674	965
209	677	961
210	680	957
211	683	954
212	686	950
213	689	947
214	692	943
215	695	939
216	698	936
217	701	932
218	704	929
219	706	925
220	709	921
221	712	917
222	715	914
223	717	910
224	720	906
225	723	902
226	726	899
227	729	895
228	731	891
229	734	887
230	737	884
231	740	880
232	743	876
233	746	873
234	748	870
235	751	866
236	754	862
237	757	859
238	761	856
239	764	853
240	767	850
241	770	846
242	773	843
243	776	839
244	781	839
245	789	840
246	791	836
247	794	833
248	797	829
249	801	827
250	804	823
251	807	820
252	810	816
253	813	813
254	816	809
255	819	806
256	822	803
257	826	800
258	829	797
259	832	794
260	835	791
261	839	787
262	842	784
263	845	781
264	849	778
265	852	775
266	855	772
267	858	768
268	862	765
269	865	763
270	869	760
271	872	757
272	876	754
273	879	751
274	883	748
275	886	745
276	890	742
277	893	739
278	896	736
279	899	732
280	903	729
281	906	726
282	910	723
283	913	720
284	916	717
285	920	714
286	923	711
287	926	707
288	929	704
289	933	701
290	936	697
291	939	694
292	942	691
293	945	688
294	948	685
295	952	682
296	955	678
297	958	675
298	961	671
299	964	668
300	967	665
