iter	RMSE
0	7.987601351
1	7.982220626
2	7.976117029
3	7.971986409
4	7.968417449
5	7.963402298
6	7.958383074
7	7.95228663
8	7.945837635
9	7.943323776
10	7.938032984
11	7.933339985
12	7.928696519
13	7.923512078
14	7.9192529
15	7.915109317
16	7.911450129
17	7.906947166
18	7.903665916
19	7.897314885
20	7.89083691
21	7.886087642
22	7.88235707
23	7.878426689
24	7.875836875
25	7.871828427
26	7.865537484
27	7.860271821
28	7.857138411
29	7.854251856
30	7.850902132
31	7.848116898
32	7.843354737
33	7.839361532
34	7.835909001
35	7.830003191
36	7.826442527
37	7.82308636
38	7.820398967
39	7.817603892
40	7.811968353
41	7.807217703
42	7.801142087
43	7.796104613
44	7.791917099
45	7.788374845
46	7.783870771
47	7.779919969
48	7.777202616
49	7.774824584
50	7.770627929
51	7.766633998
52	7.761621357
53	7.758732746
54	7.753215987
55	7.748502443
56	7.744916689
57	7.738663498
58	7.73335875
59	7.729267067
60	7.725078408
61	7.721339633
62	7.717174705
63	7.712191046
64	7.709247378
65	7.705407113
66	7.701158216
67	7.697318703
68	7.695009169
69	7.689966246
70	7.687996598
71	7.682516824
72	7.678743475
73	7.673926778
74	7.67105578
75	7.667080173
76	7.663518587
77	7.660673737
78	7.657741765
79	7.652920127
80	7.648174645
81	7.644587016
82	7.6412463
83	7.638068106
84	7.633607356
85	7.63094695
86	7.628983102
87	7.626251952
88	7.621675305
89	7.61954642
90	7.615546723
91	7.613071907
92	7.611072543
93	7.605968404
94	7.603702844
95	7.598751184
96	7.594367535
97	7.590326369
98	7.586566958
99	7.583638036
100	7.579968998
101	7.574804026
102	7.570064411
103	7.56725255
104	7.564416818
105	7.562261249
106	7.558289035
107	7.555004269
108	7.553134339
109	7.550737118
110	7.547440318
111	7.543535204
112	7.539947542
113	7.535421413
114	7.531172038
115	7.528150494
116	7.524185393
117	7.521971181
118	7.519170607
119	7.516293596
120	7.514808407
121	7.512919203
122	7.510597662
123	7.507548207
124	7.503689872
125	7.502167713
126	7.500109316
127	7.496737999
128	7.49344226
129	7.490019574
130	7.487874299
131	7.484149512
132	7.480831838
133	7.476885557
134	7.474932392
135	7.472803723
136	7.468195679
137	7.465224878
138	7.463253191
139	7.459650335
140	7.454876535
141	7.452432314
142	7.449978923
143	7.446553141
144	7.443195144
145	7.4402759
146	7.436291708
147	7.433773104
148	7.431134007
149	7.428548068
150	7.426003215
151	7.422226261
152	7.420514853
153	7.417809688
154	7.414808657
155	7.412366554
156	7.410566617
157	7.407539092
158	7.403877191
159	7.401942716
160	7.399147258
161	7.396790837
162	7.394328967
163	7.391735917
164	7.388230722
165	7.384330388
166	7.382750185
167	7.381028883
168	7.378668098
169	7.376993195
170	7.374597905
171	7.372016518
172	7.368126111
173	7.364556763
174	7.361782708
175	7.359374056
176	7.356205002
177	7.352783874
178	7.351235585
179	7.349798568
180	7.34725153
181	7.34480273
182	7.342872123
183	7.340226609
184	7.338142244
185	7.336496452
186	7.334591686
187	7.33221583
188	7.329603892
189	7.326591019
190	7.323917141
191	7.321792709
192	7.319698646
193	7.316962109
194	7.314233229
195	7.311502638
196	7.307746547
197	7.304266706
198	7.301548236
199	7.29897663
200	7.295775564
201	7.29194215
202	7.288989596
203	7.285899206
204	7.282215261
205	7.279559043
206	7.276715963
207	7.274089048
208	7.270974375
209	7.267679163
210	7.265736532
211	7.263772184
212	7.261873231
213	7.259891266
214	7.257661841
215	7.256145649
216	7.252374541
217	7.250329713
218	7.248005542
219	7.244881011
220	7.242329521
221	7.239922539
222	7.237408799
223	7.236256536
224	7.233723072
225	7.231607464
226	7.227842095
227	7.22474543
228	7.221787755
229	7.218456727
230	7.216733715
231	7.215132636
232	7.213701173
233	7.211090264
234	7.208306006
235	7.205030844
236	7.202982018
237	7.201668119
238	7.200347032
239	7.198570219
240	7.196103761
241	7.193053417
242	7.191082725
243	7.187723334
244	7.186227927
245	7.182093765
246	7.180360822
247	7.178368386
248	7.175451685
249	7.173309132
250	7.170523993
251	7.169028583
252	7.167126624
253	7.164848005
254	7.162407183
255	7.15950244
256	7.156503587
257	7.155013523
258	7.153490262
259	7.152458874
260	7.151496442
261	7.149951755
262	7.147511932
263	7.144181963
264	7.141959682
265	7.139802257
266	7.137793379
267	7.136014384
268	7.134798214
269	7.132874629
270	7.130751169
271	7.128091379
272	7.125011452
273	7.12191539
274	7.120149447
275	7.11870703
276	7.115807832
277	7.112824952
278	7.109567534
279	7.108129951
280	7.105178199
281	7.102452556
282	7.100684732
283	7.099197911
284	7.097259132
285	7.095706128
286	7.09343567
287	7.091274492
288	7.089906587
289	7.087790266
290	7.085300484
291	7.082367566
292	7.080191853
293	7.078023579
294	7.07553703
295	7.073946255
296	7.072696344
297	7.070686275
298	7.068070445
299	7.066184722
300	7.06353957
301	7.060005544
03
239
