iter	Passed	Remaining
0	0	222
1	1	184
2	1	173
3	2	165
4	2	161
5	3	157
6	3	155
7	4	152
8	4	150
9	5	148
10	5	147
11	6	147
12	6	146
13	7	145
14	7	144
15	8	143
16	8	142
17	8	141
18	9	141
19	9	140
20	10	139
21	10	138
22	11	138
23	11	137
24	12	136
25	12	136
26	13	135
27	13	135
28	14	134
29	14	133
30	15	132
31	15	132
32	16	131
33	16	131
34	17	130
35	17	129
36	18	129
37	18	129
38	19	128
39	19	127
40	20	127
41	20	126
42	21	127
43	21	127
44	22	128
45	23	128
46	23	128
47	24	128
48	24	129
49	25	129
50	26	129
51	26	129
52	27	129
53	28	129
54	28	129
55	29	129
56	30	129
57	30	128
58	30	127
59	31	126
60	31	126
61	32	125
62	32	124
63	33	123
64	33	123
65	34	123
66	35	123
67	35	123
68	36	123
69	37	122
70	37	122
71	38	122
72	39	122
73	39	122
74	40	121
75	40	121
76	41	121
77	42	121
78	42	121
79	43	120
80	44	120
81	44	120
82	45	119
83	46	119
84	46	119
85	47	118
86	48	118
87	48	118
88	49	117
89	49	117
90	50	117
91	51	116
92	51	116
93	52	116
94	52	115
95	53	114
96	54	114
97	54	113
98	55	113
99	56	113
100	56	112
101	57	112
102	57	112
103	58	111
104	59	111
105	59	110
106	60	109
107	60	109
108	61	108
109	61	107
110	62	107
111	62	106
112	63	105
113	63	105
114	64	104
115	64	103
116	65	103
117	65	102
118	66	101
119	66	101
120	67	100
121	67	99
122	68	99
123	68	98
124	69	97
125	69	97
126	70	96
127	70	95
128	71	95
129	71	94
130	72	94
131	72	93
132	72	92
133	73	92
134	74	91
135	74	91
136	75	90
137	75	89
138	76	89
139	76	88
140	77	88
141	77	87
142	78	87
143	78	86
144	79	86
145	79	85
146	80	84
147	80	84
148	81	83
149	81	82
150	82	82
151	82	81
152	83	81
153	84	80
154	84	80
155	85	79
156	85	79
157	86	78
158	86	77
159	87	77
160	87	76
161	88	76
162	88	75
163	89	74
164	89	74
165	90	73
166	90	73
167	91	72
168	91	72
169	92	71
170	92	70
171	93	70
172	93	69
173	94	69
174	94	68
175	94	67
176	95	67
177	96	67
178	96	66
179	97	66
180	98	65
181	98	64
182	99	64
183	99	63
184	100	63
185	100	62
186	101	62
187	102	61
188	102	61
189	103	60
190	103	60
191	104	59
192	104	59
193	105	58
194	105	58
195	106	57
196	106	57
197	107	56
198	108	56
199	108	55
200	109	54
201	109	54
202	110	53
203	110	53
204	111	52
205	111	52
206	112	51
207	112	50
208	113	50
209	113	49
210	114	49
211	114	48
212	115	48
213	115	47
214	116	47
215	117	46
216	117	46
217	118	45
218	118	44
219	119	44
220	120	43
221	120	43
222	121	43
223	122	42
224	122	42
225	123	41
226	123	40
227	124	40
228	124	39
229	125	39
230	125	38
231	126	38
232	127	37
233	127	37
234	128	36
235	128	35
236	129	35
237	129	34
238	130	34
239	130	33
240	131	33
241	132	32
242	133	32
243	133	31
244	134	31
245	135	30
246	136	30
247	136	29
248	137	29
249	137	28
250	138	28
251	138	27
252	139	26
253	139	26
254	140	25
255	140	25
256	141	24
257	141	24
258	142	23
259	143	23
260	143	22
261	144	22
262	144	21
263	145	20
264	145	20
265	146	19
266	146	19
267	147	18
268	147	18
269	148	17
270	148	16
271	149	16
272	149	15
273	149	15
274	150	14
275	150	14
276	151	13
277	151	13
278	152	12
279	152	12
280	153	11
281	153	10
282	154	10
283	154	9
284	155	9
285	155	8
286	156	8
287	156	7
288	157	7
289	157	6
290	158	5
291	158	5
292	158	4
293	159	4
294	160	3
295	160	3
296	161	2
297	161	2
298	162	1
299	162	1
300	162	0
301	163	0
172	1
300	172	0
301	173	0
301	181	0
